layer_name,num_params,diag_sum,diag_off_diag_ratio,min_eigenvalue,max_eigenvalue,spectral_gap,is_bad_layer,iter_num,checkpoint
transformer.h.5.attn.c_attn.weight,442368,0.6286035180091858,-1.032319689865593,-12.253725,6.6278763,0.54088664,False,1000,1000_ckpt.pt
transformer.h.5.attn.c_proj.weight,147456,2.2446113234764198e-07,-1.0000000035369547,-1.445688,1.6621813,1.1497511,False,1000,1000_ckpt.pt
transformer.h.5.ln_1.weight,384,0.12889647483825684,23.50217126351583,-0.021367136,0.023934467,1.1201532,False,1000,1000_ckpt.pt
transformer.h.5.ln_2.weight,384,0.21850073337554932,-0.6701755909894599,-0.092063785,0.07605571,0.8261198,False,1000,1000_ckpt.pt
transformer.h.5.mlp.c_fc.weight,589824,1.0164287090301514,-0.9990180915312505,-28.271132,21.761454,0.7697412,False,1000,1000_ckpt.pt
transformer.h.5.mlp.c_proj.weight,589824,3.123358328593895e-05,-1.0000002416999745,-0.91676795,1.9260678,2.1009328,False,1000,1000_ckpt.pt
transformer.h.0.attn.c_attn.weight,442368,1.4124411344528198,-1.0090202131898405,-89.22636,90.20801,1.0110018,False,1250,1250_ckpt.pt
transformer.h.0.attn.c_proj.weight,147456,-4.315684054745361e-05,-1.00000008585627,-383.83832,219.45297,0.5717328,False,1250,1250_ckpt.pt
transformer.h.0.ln_1.weight,384,-5.795958995819092,15.191521639771798,-0.08925288,0.07760666,0.86951435,False,1250,1250_ckpt.pt
transformer.h.0.ln_2.weight,384,-2.3331024646759033,1.4600294644953364,-0.17790331,0.09930164,0.5581776,False,1250,1250_ckpt.pt
transformer.h.0.mlp.c_fc.weight,589824,-1.500859260559082,-0.9966966913679356,-55.8817,29.283335,0.5240237,False,1250,1250_ckpt.pt
transformer.h.0.mlp.c_proj.weight,589824,0.031128806993365288,-1.0000124972555215,-163.8654,102.187325,0.62360525,False,1250,1250_ckpt.pt
transformer.h.1.attn.c_attn.weight,442368,0.22125494480133057,-1.0027993409477822,-19.29605,7.4756594,0.38741916,False,1250,1250_ckpt.pt
transformer.h.1.attn.c_proj.weight,147456,2.7691251602846023e-07,-1.0000000016416717,-7.125576,4.919023,0.69033337,False,1250,1250_ckpt.pt
transformer.h.1.ln_1.weight,384,-0.08207321166992188,0.17151832168133888,-0.027748559,0.013298755,0.47925928,False,1250,1250_ckpt.pt
